Finger Table for Node 1422144387 (node-1) | Predecessor: node-0 | Successor: node-0:
Start Key: 1422144388 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144389 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144391 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144395 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144403 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144419 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144451 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144515 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144643 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422144899 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422145411 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422146435 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422148483 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422152579 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422160771 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422177155 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422209923 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422275459 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422406531 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1422668675 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1423192963 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1424241539 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1426338691 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1430532995 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1438921603 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1455698819 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1489253251 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1556362115 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1690579843 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1959015299 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 348402563 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1422144387 (node-1) | Predecessor: node-0 | Successor: node-3:
Start Key: 1422144388 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144389 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144391 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144395 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144403 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144419 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144451 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144515 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144643 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144899 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422145411 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422146435 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422148483 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422152579 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422160771 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422177155 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422209923 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422275459 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422406531 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422668675 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1423192963 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1424241539 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1426338691 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1430532995 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1438921603 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1455698819 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1489253251 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1556362115 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1690579843 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1959015299 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 348402563 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Finger Table for Node 1422144387 (node-1) | Predecessor: node-0 | Successor: node-3:
Start Key: 1422144388 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144389 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144391 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144395 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1422144403 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
